numero_simulacao,nome_modelo,qtd_sucesso_alegria,qtd_sucesso_raiva,total_alegria,total_raiva,tempo_total_ms,acuracia_alegria,acuracia_raiva,acuracia_geral,precisao_alegria,recall_alegria,f1_alegria,precisao_raiva,recall_raiva,f1_raiva,precisao_macro,recall_macro,f1_macro,modelo
26.0,google_vision_emotion,15.0,4.0,50.0,50.0,92185.21285057068,0.3,0.08,0.19,0.2459016393442623,0.3,0.2702702702702703,0.1025641025641025,0.08,0.0898876404494382,0.1742328709541824,0.19,0.1800789553598542,Google Vision
27.0,google_vision_emotion,15.0,1.0,50.0,50.0,90857.90395736694,0.3,0.02,0.16,0.234375,0.3,0.2631578947368421,0.0277777777777777,0.02,0.0232558139534883,0.1310763888888889,0.16,0.1432068543451652,Google Vision
28.0,google_vision_emotion,15.0,0.0,50.0,50.0,97047.59883880617,0.3,0.0,0.15,0.2307692307692307,0.3,0.2608695652173913,0.0,0.0,0.0,0.1153846153846153,0.15,0.1304347826086956,Google Vision
29.0,google_vision_emotion,11.0,0.0,50.0,50.0,121011.58499717712,0.22,0.0,0.11,0.180327868852459,0.22,0.1981981981981982,0.0,0.0,0.0,0.0901639344262295,0.11,0.0990990990990991,Google Vision
30.0,google_vision_emotion,17.0,2.0,50.0,50.0,128185.2879524231,0.34,0.04,0.19,0.2615384615384615,0.34,0.2956521739130435,0.0571428571428571,0.04,0.0470588235294117,0.1593406593406593,0.19,0.1713554987212276,Google Vision
1.0,roboflow_emotion,28.0,7.0,50.0,50.0,58674.62205886841,0.56,0.14,0.35,0.3943661971830985,0.56,0.4628099173553719,0.2413793103448276,0.14,0.1772151898734177,0.317872753763963,0.35,0.3200125536143948,Roboflow
2.0,roboflow_emotion,36.0,2.0,50.0,50.0,56809.85999107361,0.72,0.04,0.38,0.4285714285714285,0.72,0.5373134328358209,0.125,0.04,0.0606060606060606,0.2767857142857143,0.38,0.2989597467209407,Roboflow
3.0,roboflow_emotion,30.0,10.0,50.0,50.0,73498.04711341858,0.6,0.2,0.4,0.4285714285714285,0.6,0.5,0.3333333333333333,0.2,0.25,0.3809523809523809,0.4,0.375,Roboflow
4.0,roboflow_emotion,33.0,9.0,50.0,50.0,55160.869121551514,0.66,0.18,0.42,0.4459459459459459,0.66,0.532258064516129,0.3461538461538461,0.18,0.2368421052631578,0.396049896049896,0.42,0.3845500848896434,Roboflow
5.0,roboflow_emotion,36.0,2.0,50.0,50.0,54815.10305404663,0.72,0.04,0.38,0.4285714285714285,0.72,0.5373134328358209,0.125,0.04,0.0606060606060606,0.2767857142857143,0.38,0.2989597467209407,Roboflow
6.0,roboflow_emotion,30.0,8.0,50.0,50.0,66042.6127910614,0.6,0.16,0.38,0.4166666666666667,0.6,0.4918032786885246,0.2857142857142857,0.16,0.2051282051282051,0.3511904761904761,0.38,0.3484657419083649,Roboflow
7.0,roboflow_emotion,33.0,11.0,50.0,50.0,54540.51113128662,0.66,0.22,0.44,0.4583333333333333,0.66,0.540983606557377,0.3928571428571428,0.22,0.282051282051282,0.4255952380952381,0.44,0.4115174443043295,Roboflow
