numero_simulacao,nome_modelo,qtd_sucesso_alegria,qtd_sucesso_raiva,total_alegria,total_raiva,tempo_total_ms,acuracia_alegria,acuracia_raiva,acuracia_geral,precisao_alegria,recall_alegria,f1_alegria,precisao_raiva,recall_raiva,f1_raiva,precisao_macro,recall_macro,f1_macro
19,google_vision_emotion,14,2,50,50,93795.33290863036,0.28,0.04,0.16,0.22580645161290322,0.28,0.25,0.05263157894736842,0.04,0.04545454545454545,0.1392190152801358,0.16,0.14772727272727273
20,google_vision_emotion,11,5,49,50,86782.24301338196,0.2244897959183673,0.1,0.1616161616161616,0.19642857142857142,0.22448979591836735,0.2095238095238095,0.11627906976744186,0.1,0.1075268817204301,0.15635382059800665,0.16224489795918368,0.15852534562211978
21,google_vision_emotion,19,3,50,50,114321.10786437988,0.38,0.06,0.22,0.2878787878787879,0.38,0.3275862068965517,0.08823529411764706,0.06,0.07142857142857141,0.1880570409982175,0.22,0.19950738916256155
22,google_vision_emotion,21,2,50,50,93792.50192642212,0.42,0.04,0.23,0.30434782608695654,0.42,0.3529411764705883,0.06451612903225806,0.04,0.04938271604938271,0.1844319775596073,0.22999999999999998,0.2011619462599855
23,google_vision_emotion,18,2,50,50,105165.90905189514,0.36,0.04,0.2,0.2727272727272727,0.36,0.3103448275862069,0.058823529411764705,0.04,0.04761904761904763,0.1657754010695187,0.19999999999999998,0.17898193760262726
24,google_vision_emotion,13,0,49,50,243045.00818252563,0.2653061224489796,0.0,0.1313131313131313,0.20634920634920634,0.2653061224489796,0.23214285714285715,0.0,0.0,0.0,0.10317460317460317,0.1326530612244898,0.11607142857142858
25,google_vision_emotion,12,4,50,50,1118830.3940296173,0.24,0.08,0.16,0.20689655172413793,0.24,0.22222222222222224,0.09523809523809523,0.08,0.08695652173913043,0.15106732348111657,0.16,0.15458937198067635
26,google_vision_emotion,15,4,50,50,92185.21285057068,0.3,0.08,0.19,0.2459016393442623,0.3,0.2702702702702703,0.10256410256410256,0.08,0.08988764044943821,0.17423287095418244,0.19,0.18007895535985424
27,google_vision_emotion,15,1,50,50,90857.90395736694,0.3,0.02,0.16,0.234375,0.3,0.2631578947368421,0.027777777777777776,0.02,0.023255813953488372,0.1310763888888889,0.16,0.14320685434516522
28,google_vision_emotion,15,0,50,50,97047.59883880617,0.3,0.0,0.15,0.23076923076923078,0.3,0.2608695652173913,0.0,0.0,0.0,0.11538461538461539,0.15,0.13043478260869565
